 Sample   Time     Encoder 1 Pos   Encoder 2 Pos 

[    0    0.000             271             219;
     1    0.009             111             117;
     2    0.018             -44               3;
     3    0.027            -190            -116;
     4    0.035            -326            -229;
     5    0.044            -449            -328;
     6    0.053            -558            -406;
     7    0.062            -650            -458;
     8    0.071            -721            -485;
     9    0.080            -770            -489;
    10    0.089            -793            -472;
    11    0.097            -789            -442;
    12    0.106            -753            -404;
    13    0.115            -690            -364;
    14    0.124            -601            -323;
    15    0.133            -491            -279;
    16    0.142            -365            -232;
    17    0.151            -230            -176;
    18    0.159             -94            -111;
    19    0.168              38             -34;
    20    0.177             159              51;
    21    0.186             265             141;
    22    0.195             356             228;
    23    0.204             429             305;
    24    0.213             485             361;
    25    0.221             524             392;
    26    0.230             546             398;
    27    0.239             551             376;
    28    0.248             536             333;
    29    0.257             502             277;
    30    0.266             448             217;
    31    0.274             377             160;
    32    0.283             290             110;
    33    0.292             190              68;
    34    0.301              83              33;
    35    0.310             -24               1;
    36    0.319            -125             -33;
    37    0.328            -214             -72;
    38    0.336            -288            -118;
    39    0.345            -344            -170;
    40    0.354            -382            -221;
    41    0.363            -402            -265;
    42    0.372            -408            -297;
    43    0.381            -403            -310;
    44    0.390            -386            -302;
    45    0.398            -362            -272;
    46    0.407            -329            -224;
    47    0.416            -289            -166;
    48    0.425            -238            -105;
    49    0.434            -178             -51;
    50    0.443            -109              -6;
    51    0.452             -34              26;
    52    0.460              43              48;
    53    0.469             117              63;
    54    0.478             181              77;
    55    0.487             231              93;
    56    0.496             266             114;
    57    0.505             284             138;
    58    0.514             287             163;
    59    0.522             275             183;
    60    0.531             256             192;
    61    0.540             232             190;
    62    0.549             206             169;
    63    0.558             177             135;
    64    0.567             147              91;
    65    0.576             115              43;
    66    0.584              79              -0;
    67    0.593              39             -35;
    68    0.602              -4             -58;
    69    0.611             -48             -68;
    70    0.620             -90             -70;
    71    0.629            -127             -65;
    72    0.638            -155             -60;
    73    0.646            -171             -58;
    74    0.655            -175             -61;
    75    0.664            -168             -71;
    76    0.673            -150             -84;
    77    0.682            -127             -94;
    78    0.691            -101             -97;
    79    0.699             -76             -90;
    80    0.708             -54             -71;
    81    0.717             -34             -42;
    82    0.726             -17              -8;
    83    0.735              -2              25;
    84    0.744              14              53;
    85    0.753              30              70;
    86    0.761              46              76;
    87    0.770              62              71;
    88    0.779              76              56;
    89    0.788              84              38;
    90    0.797              87              21;
    91    0.806              82              10;
    92    0.815              70               5;
    93    0.823              53               6;
    94    0.832              35              12;
    95    0.841              16              20;
    96    0.850               0              25;
    97    0.859             -11              25;
    98    0.868             -17              18;
    99    0.877             -18               5;
   100    0.885             -17             -11;
   101    0.894             -13             -25;
   102    0.903             -10             -35;
   103    0.912             -10             -39;
   104    0.921             -10             -35;
   105    0.930             -13             -24;
   106    0.939             -15             -10;
   107    0.947             -15               5;
   108    0.956             -13              17;
   109    0.965              -7              23;
   110    0.974               1              25;
   111    0.983               9              21;
   112    0.992              17              13;
   113    1.001              22               5;
   114    1.009              24              -2;
   115    1.018              24              -6;
   116    1.027              20              -6;
   117    1.036              14              -2;
   118    1.045               9               4;
   119    1.054               4              10;
   120    1.063               2              14;
   121    1.071               2              14;
   122    1.080               2              14;
   123    1.089               6               9;
   124    1.098               9               4;
   125    1.107              10              -1;
   126    1.116              10              -5;
   127    1.124              10              -6;
   128    1.133               7              -6;
   129    1.142               5              -2;
   130    1.151               4               2;
   131    1.160               3               6;
   132    1.169               3               9;
   133    1.178               6              10;
   134    1.186               7              10;
   135    1.195               9               9;
   136    1.204               9               7;
   137    1.213              10               4;
   138    1.222              10               2;
   139    1.231               9               1;
   140    1.240               8               0;
   141    1.248               7              -1;
   142    1.257               7               1;
   143    1.266               7               3;
   144    1.275               7               5;
   145    1.284               7               6;
   146    1.293               7               7;
   147    1.302               7               7;
   148    1.310               7               7;
